relative_path,size_bytes,sha256
activity_dip_check.py,3299,9c11c751d59fecce01c2786746f6ad30bc67ad57902adb78e30fd49918b38c3d
activity_dip_check_log.txt,7378,8cc81fd59c815ec630e92f00e6ca12243b8e26dbdd06c7505bd49f9dba4f9b07
analyze_recovery.py,7022,d8f868c2ca23179aa312852ce1fa520316d9b045d36fe9f09bb447710d378b9a
audit_v5.py,2752,ed3076f17d3e691f5a0a890830b0893f5ffaf3f295370c817bbea5141b62fd56
audit_v5_log.txt,1511,4c2dfdd59e5e2b03837ad0e4a49473904c986eaded88a1a821847a21b6a22f2f
corrected_protocol.py,14691,dc94f913fb2b7812a11188e4ceb878f823357986ea230a5d8f7a727041b2be65
corrected_protocol_log.txt,28321,325b33c20aba78241fe43a3bc59a70bccb28d5ed96008362a65666b396cab4c4
corrected_protocol_output.png,103990,7db6cbb8d9239deb07404a32bbab50bf886cb511f5a5175c8f38fea7b3512689
cross_network_summary.py,2068,fa0705057fbc73a7550304d4e7dcf78b7ddb37b0f9bcc68141e8d5b202cac527
cross_network_summary_log.txt,4167,5b0f70dabbc33e357334d14f7af623077e955f651ea528155d70783ff56b94cd
crossed_response.csv,5549,e31cf18816c6f72d7a6e95f355f5846b4132d7a3041e26778bae46277dc316f1
crossed_response.py,5128,0bef9a182982d786eb8bfd83184119e48268af799f0540f90940a069fd15a47e
crossed_response_log.txt,6657,23513cdf57a0fff0e1612bb11a6c5f003a44a7406b228da24074e412cc92bf95
desync_protocol.py,11391,bd130d9904cd5eb80a523f9a2696b1c5d5d1184e993d7ae74b39094629455b30
desync_protocol_log.txt,7565,053758ae2ad293898e53aa94394359c3bee699438b8a9cc7011cb9841864877e
desync_protocol_log2.txt,7257,f95fac3a8d0b4cd212d94bfb9501751b118f101595b744d0599041aab70eed1e
desync_summary.csv,9358,9e36f52afb479a90c770b4fcb7a1bbf029a81c4e21b4b00a0c57a1ca6432069f
full_protocol.py,13200,b9b4e6f0a38b3f043507480716240fd521b7b9dfc5047d7159cb8a4c5accaa82
full_protocol_log.txt,46004,1509a09f4d0ad9d7b7a9d3e509f18fb7f29c1b9a35a529dc768dc94db1264091
memory_output.png,86135,9c0ef4add3853b7996458b2e7bcc7ae2c960e1554a8bf5dbac7d7e5e60d0981a
memory_test.py,7452,24ecfb34e3e28169ee524918d960480c2cd4a369dee6641615df3dd3d92f9bb7
neighborhood_dev11.csv,2957,89107ad996035ae1b6e53cf3b2be07f8420ba83bf2cdadd31a072df8184f8805
neighborhood_dev22.csv,2990,f32a6b28aa1b636c8b883dff3c36dd2bdb51efdde065afe072589f5af3998620
neighborhood_dev33.csv,2870,56fcffc37223d85e7a793f50ac48350703f280a530a5055c7c4b04fb1d0e098f
output.png,126656,d61fb7213a711cb90e22fc1d5c47d50cf475ac41bf1ff748aecdd0ed5548fe99
pilot_2s_probe.npz,10666885,a237d994e7ba7e4b7ca65242b46bd0cd54e7388bb0bbf53668f110d2e34acfdd
plot_recovery.py,4198,ee4b3ea708548236134e0dad062b70389a520e2913e1b56c4a8cd517ccce34ed
plot_recovery_log.txt,930,835d004aa18099eea0605914fc16a23b42f50280df45171d7a4e660b65fd40aa
probe.py,5882,d5525e1f3f373bfbf789d6a974a5037925f9bf74222472a02886a5d337599769
probe_output.png,45928,e05c903b4e623088a34c27d63814b8ec6b0a228e027d2be25b7be585bddc1e36
protocol_output.png,99764,c47e9122789498e4c0f761d5071c1b940d8c28564d31926bd52531659fd2395e
quantitative_recovery.py,12642,25bbbbc9940a371d0da8e3907ce8c8b63955624720bf70073dbc54ab8d532a94
quantitative_recovery_log.txt,6960,03c55ccc8078115de63494e7775ebf8ab29d0c4016fd10ce0adc34fa01dad006
quantitative_recovery_log2.txt,8164,0df24c896da571bf0d94407db970f15451d4dceb25a03dba090b37b4a1a5e9b3
raw_audit.py,2178,5d559ff4f75a798a07014b3a9f416dc7aa7febaa5ec55b621bbe77870bc008cc
raw_audit_log.txt,2504,a116b2543dbfe047dddee2c1a03cc0abc2405a4cd6d1728e125c30895526bc88
recovery_expand36.py,6098,ea079fdcfd387101db4f42a69b561f6bc8f6b74fb8ba5336dcf0e863773fd0f7
recovery_expand36_log.txt,3368,133f061d95127a96ee22fc35cd48a89773de178d2469ac91f7e4e4c0cd854dbd
recovery_plots/population_dev11_gain4.png,327704,d0945878d29f02ba62066d56a7192ef976379085403466ba43244f85622c1ee3
recovery_plots/population_dev11_gain6.png,306383,b3e421372953e612fdf36512947409a62b29463e233307b5659b0b49ac290b73
recovery_plots/population_dev22_gain4.png,337799,56ff85b0ada8f20f205481c14b2fd9be6ff52dd25e75035a1fe535c7010157d6
recovery_plots/population_dev22_gain6.png,368323,2ff6c1c4dc8aaa23edd287fc597fabb7e7e22fba408086cb1411cda968d2e522
recovery_plots/population_dev33_gain4.png,321010,25bdf5a1760d82d5d7f4bd2039fa200b32937cfe5c0ea6ee25ec062efaa05a50
recovery_plots/population_dev33_gain6.png,327170,98dc7ebe482aeb7ca9e92cb53fb9e653384217ec2024d6ec871306459c77e0fc
recovery_plots/windows_dev11_gain4.png,177210,7893abb51750954afcc9b1b3bd2838a6066f6dda5e97259a489324fa7fd1c968
recovery_plots/windows_dev11_gain6.png,155346,83e7c9881e27feebcdd2b92182c97d18ea46f7a7c5f9ed88bba0be02d64e6f07
recovery_plots/windows_dev22_gain4.png,199544,4d639414b62e5eef70d6d466b45c4af1fc109e6b30ec8beae9212959c0c14522
recovery_plots/windows_dev22_gain6.png,203223,17208c8abcaade34bed60f705054ba2191649f6ac5a5bd10c58ac0fbd4b34a39
recovery_plots/windows_dev33_gain4.png,142400,c876b8030846f7359995ca1b47f8640c2f70003f11f345e4bf54764ce817fcee
recovery_plots/windows_dev33_gain6.png,179255,2acbc2333e0d8a6835534dc65bdf3257d039524fe8268aeec64ea8be4316914d
recovery_probe.py,7911,8869741b58e8fbcd972bdc45866f18288e9bb4e793fa4226dddd863ab7d649df
recovery_probe_pilot_log.txt,593,b83eda76abb48fb0f71cef17889177a60a8b03fc1624d14989f3408b92b91471
recovery_quantitative_summary.csv,7597,a07c0644d931c898000c61335dfc7c6143e4d96d87c8a903a0e75fe88af4c7fe
recovery_v02/dev11_gain4_state1500_test2500.npz,10736598,8785a3896c1542c3f8fe9df581689f54c9e191318b5eaabe239c695f5e9f4ccd
recovery_v02/dev11_gain4_state1500_test2501.npz,10743439,9b3a100fd6f2d4a443d69a3513efaf3d48c0e4dc32722db679ff1860c48fdd41
recovery_v02/dev11_gain4_state1500_test2502.npz,10742112,4a7588fd892763deb4cb33307a27fbd0208ed920ea037a391323ebb980383132
recovery_v02/dev11_gain4_state1501_test2500.npz,10746364,fba68d8f190f1d6a3546417039db21bbaacf499ada149d4c664b756669ba21ac
recovery_v02/dev11_gain4_state1501_test2501.npz,10757455,01affd5367f17dc53a237f29597587eafb82e5ffa99e9d6471418a8322d5c419
recovery_v02/dev11_gain4_state1501_test2502.npz,10749526,adb2b5db75a3ff9bdf55f58d4d0ee63f9d93720a3362e96968e045e159d8dfea
recovery_v02/dev11_gain6_state1500_test2500.npz,10712111,f01305ac4b0b5fed27a9cb6747b611974cef5acb9d3bf4be18c2ee0873eaece6
recovery_v02/dev11_gain6_state1500_test2501.npz,10711645,8666b17eddb5d872029e424f11983ecb43193ca905f7728c5935a2c3404df76f
recovery_v02/dev11_gain6_state1500_test2502.npz,10703048,1b2e91844af4c902b13afc49c6add9fd10ef5122a01d445c00aaeaf63938a7da
recovery_v02/dev11_gain6_state1501_test2500.npz,10725170,1f8ad5126956471059592bc69172e42a3756b073c3dfef825cff235afeef879a
recovery_v02/dev11_gain6_state1501_test2501.npz,10729784,3952484100d50933fc27c436803e63381ea29b80ddba923ffacf75c43c828467
recovery_v02/dev11_gain6_state1501_test2502.npz,10715126,180a63c14ce9242372bb9d9fffab821e6672848f25b31f2394d466ff8c72ba42
recovery_v02/dev22_gain4_state1500_test2500.npz,10738237,c17e083d509be6ec48c9fd09b2d36e960ec139931137afe6444ab6abf2f29d10
recovery_v02/dev22_gain4_state1500_test2501.npz,10751449,a7ec4108fab4288eee6876d8ae43c54f6a0c53786abbca478b1c32d68fc62da1
recovery_v02/dev22_gain4_state1500_test2502.npz,10734840,c5f0b77d34d3285ce1de6d01e3ca4fe56154908a6ce9a57232648ae30a60450f
recovery_v02/dev22_gain4_state1501_test2500.npz,10719571,c34c1d7695bec885631afcf246b5d276ff6798395f613b9ef801fecd5702bd13
recovery_v02/dev22_gain4_state1501_test2501.npz,10718911,c95d3982d930a4a012e985c7c3cb75b0f37af31e1d0067787952b2a6530960f8
recovery_v02/dev22_gain4_state1501_test2502.npz,10722096,707e653164030d1c938403e2c06ad3bf523c0470cc49d1f6259c31ac9e6fe5d6
recovery_v02/dev22_gain6_state1500_test2500.npz,10682681,359aeb42eb9b47f6454af6e85744a2a8b29ef9c62386f7fc371d5d42b41c0877
recovery_v02/dev22_gain6_state1500_test2501.npz,10685064,5fbb713c2786046dc2745071839d72c6f17116f220a84e7d7c7bda44aae86c13
recovery_v02/dev22_gain6_state1500_test2502.npz,10684562,e9c76cd51bffcce7de61f298211c32edc0e0bac9763e647f81d006a4507e849c
recovery_v02/dev22_gain6_state1501_test2500.npz,10692095,abd1ee0498c025c0515b37b001a02f99aacc66ac6164146de3df86a5562f56c5
recovery_v02/dev22_gain6_state1501_test2501.npz,10684082,3990d00a6a61771a54af9df9dae23a33fbd81b81ce267b9dab12784fb017a742
recovery_v02/dev22_gain6_state1501_test2502.npz,10685300,c405720a63b2d707f0739cbcfd8ea792c3b83fb40304ba7803c11e92244b8897
recovery_v02/dev33_gain4_state1500_test2500.npz,10712719,81f91297597f799a326c4bc11965f2c175f5239626bc4823751fded988ddabc6
recovery_v02/dev33_gain4_state1500_test2501.npz,10710642,cc34e268a9f62ed975e12dc1004ba8b9f34719823bede5e21bd1c176727d0d63
recovery_v02/dev33_gain4_state1500_test2502.npz,10717436,e9da43ca4882f429eb64a5818658048a3ec43d84e7c5e4e17353a5f7a2d0f3a0
recovery_v02/dev33_gain4_state1501_test2500.npz,10733428,1c84f8060252c6d90c173ec19290b05160d65e1979d12223139504e75b20cae0
recovery_v02/dev33_gain4_state1501_test2501.npz,10754879,a47e6ea730d904b509c6ce745592aa871bb809e24e1fb86dffbbd98e9ca68e11
recovery_v02/dev33_gain4_state1501_test2502.npz,10757517,0423922bc6744ea1877e5853f88d007ac281874e83e1edf0e0bdb91e78773d4f
recovery_v02/dev33_gain6_state1500_test2500.npz,10700191,619fd1b5827799e2f82d9cbb1341d9854fef1290000fdef99ae5db0b7a528149
recovery_v02/dev33_gain6_state1500_test2501.npz,10719864,d4f0ec4372fd692876c6c772b3fa55584a00ac5fa12f308cad2d9f68b846e2ab
recovery_v02/dev33_gain6_state1500_test2502.npz,10718547,b9a392ce070d42427f47936121f09f831090ff963e79c77702150c1a1e74e3e6
recovery_v02/dev33_gain6_state1501_test2500.npz,10697839,d35a410b6622c1cb5e9ef97e25ff169e4a6e94ee060a96bba0792191735fe145
recovery_v02/dev33_gain6_state1501_test2501.npz,10709152,7506db22605f1f4a048f7919a0a9ca6ff06fb64ad4c134d48193d9bf2d2da767
recovery_v02/dev33_gain6_state1501_test2502.npz,10715395,f6f938224609f0c1a6d085e0dbc6ae380c1b7fbe554ec7ee0f744d0d3504eb02
recovery_v02/manifest.csv,3503,464d68b681fac8f3596a7be2d9829250f99033f65aed545919b40418162b7383
regime_map.png,114345,80be7040b81808e83266eec343a23a6f0a96d40c6698a707bb3d97fb5b118ecc
regime_map.py,8522,dd67b69a99f988b05d18e3e1c7b0144c3c16d85aeb9ae4af688cc1810496fc82
regime_map_log.txt,2124,f6f1d2c5aef8af04f373471d02bd682321d441c2ec3d4cfc7eb2770f2d04cf2c
regime_map_results.npz,2368,2e03f6530065d856961f1296d091c6c0da8ebb442c618f826793b5b6fda17010
regime_neighborhood.py,3594,34c9c2badc49ebad55a10e761f604139b17ead48ad0203da5605c01a51bd0bf7
regime_neighborhood_log.txt,4351,6651daa96f936a8576836abc63267134976144d8426b2b51e2bf9c16bb7d0067
replicate_neighborhood.py,198,dfe9aea2dd99bf46d0bba7a70f86c57403686b0d49b13c26ca0ec9a7667389cc
replicate_neighborhood_log.txt,8705,ba70f71f0a849a5bf94c49f5bbb6a2904dd384a3d4bb63e1aa95f417598369b1
resolution_check.py,9891,07f95f340db69027d14a7fcb6b54f8c1a80e3c3fffb1076e87d666e9982849d1
resolution_check_log.txt,7325,d5ca207862c227b37c14c1edf4c8af18a4c7aa0fb674cb6975ba781e03b6a88a
resolution_check_output.png,44056,c7ef0725efeafd056992c5cd7d4e6895c550ce925209dbcb0a9c832117fee1f6
sequence_log.txt,3581,616ec3cea9cdf31e4f77770e767d411e1e77d0729b9832115ea67f52b25441d9
sequence_test.py,9874,444864a1408607cc5d0441eb0b6188d41c12b5eb905a290eeab1e29276e8a843
sim.py,6619,66e57a331d04df6ba8abb36c50aa8f4779c08cc364fd192e2af79f3d8fa70490
sim_core.py,20321,91aa24e1e7abc6c3a90ee20098aec707749123296b8541f291ac3e7ffdbbece9
specificity_log.txt,2268,a9836f35a7a99428089ebdf06bfb20adac4c054b8f71174bcbfa892bf4a449fc
specificity_output.png,31888,e607eaf4bf323ec2bbc18730f359198e97c59b2f58295622ae4baea7f79aceb0
specificity_test.py,8374,ccaf1010fe69f4ceddc9ae9005450a55f0816c1803d749f5a518d4ee043becaa
spike_timing.py,1805,51906c0011cca9c5606be432923793362faf32d9477fc97ac6715d2e722ca46b
spike_timing_log.txt,2904,554bfc6c85471df94067683b16cc52a2910b5ef9acee0e6c98e1a2c70050c55d
state_noise_grid.csv,25947,db7557021092e78ea848ecd35b89887db694d40a70522d2961cf8727b9f225ad
state_noise_grid.py,11277,237938ef47b858ca659cda78c2494a82fb4a940c237589b19023ff976c042e96
state_noise_grid_log.txt,4341,c96e3eacd636e184d2b54c74b815d142ca5261223e74eaedf2a481a446020421
state_noise_grid_log2.txt,6015,6874815283509c25cf678c68518cf6b0ebba3d172c796656b5f921a22ab6b6e7
summarize_recovery.py,4496,24c71d35bf0e05966c1e6a54834882347967ebaf7b417a7d088c5e8611810f32
