M	9001	0.000	3.500	-0.0067	8.00	8	48	NaN	-0.0077	0.0097	614	0.7077
M0	9001	0.000	442.600	-0.0523	8.00	8	48	NaN	0.0117	-0.0105	607	0.1271
BR	9001	29.000	273.867	0.7119	8.00	8	48	NaN	-0.0228	-0.0026	587	0.3356
FM	9001	0.000	7.867	-0.0002	8.00	8	48	0.000	-0.0083	-0.0003	616	0.8472
FM0	9001	0.033	746.100	0.2068	8.00	8	48	0.000	0.0018	-0.0004	578	0.1034
FBR	9001	7.367	642.067	0.4930	8.00	8	48	0.667	0.0011	0.0158	624	0.2687
M	9002	0.000	3.567	-0.0101	8.00	8	48	NaN	-0.0187	-0.0018	595	0.7482
M0	9002	0.000	957.533	0.1399	8.00	8	48	NaN	0.0040	0.0016	547	0.0890
BR	9002	28.033	279.367	0.7042	8.00	8	48	NaN	-0.0010	-0.0061	626	0.3320
FM	9002	0.000	2.167	0.0158	8.00	8	48	0.000	0.0035	0.0018	621	0.8257
FBR	9002	7.733	643.100	0.5056	8.00	8	48	1.067	-0.0102	0.0107	580	0.2680
FM0	9002	0.000	829.267	0.1361	8.00	8	48	0.000	-0.0108	0.0144	602	0.0972
M0	9003	0.000	737.500	0.2588	8.00	8	48	NaN	-0.0018	0.0010	604	0.1050
M	9003	0.000	1.800	0.0051	8.00	8	48	NaN	-0.0051	-0.0037	599	0.8056
BR	9003	30.633	239.700	0.7246	8.00	8	48	NaN	0.0189	-0.0081	582	0.3395
FM	9003	0.300	0.767	0.0166	8.00	8	48	0.400	-0.0066	-0.0373	612	0.8041
FM0	9003	0.033	635.000	0.1305	8.00	8	48	0.067	0.0056	-0.0042	619	0.1113
FBR	9003	7.300	648.533	0.4933	8.00	8	48	0.800	0.0006	0.0133	593	0.2690
M	9004	0.000	0.000	-0.0052	8.00	8	48	NaN	-0.0048	-0.0006	589	0.8162
M0	9004	0.000	766.267	0.2732	8.00	8	48	NaN	0.0007	0.0152	625	0.1025
BR	9004	31.033	261.000	0.7233	8.00	8	48	NaN	-0.0027	0.0105	533	0.3397
FM	9004	5.100	5.967	-0.0754	8.00	8	48	6.067	-0.0376	0.0795	557	0.7251
FBR	9004	7.200	653.067	0.4970	8.00	8	48	0.600	0.0067	-0.0165	599	0.2695
