Т	9101	6	0.113	0	9	8.33	2000	2000	2000	0	9	11.11	1.000	0.049	7.92	5	3.358	48	36
Б	9101	6	0.113	0	9	8.33	2000	2000	2000	0	9	11.11	1.000	1.209	8.00	8	-0.422	48	36
К	9101	6	0.141	0	9	8.33	2000	2000	2000	0	9	11.11	1.000	0.247	8.00	8	1.469	48	36
М0	9101	6	0.577	0	9	8.33	2000	2000	2000	0	9	11.11	1.000	0.023	8.00	8	-1.279	48	36
К	9101	9	0.056	0	9	3.57	2000	2000	2000	0	9	5.56	1.000	0.041	8.00	8	1.590	112	72
СП	9101	6	1.000	45	45	1.88	446	449	449	51	51	2.16	0.864	0.149	8.00	8	-0.015	48	36
Т	9101	9	1.000	3	10	3.57	1880	1882	2000	0	9	5.56	1.000	0.181	7.97	7	2.247	112	72
Б	9101	9	0.037	0	9	3.57	2000	2000	2000	0	9	5.56	1.000	0.246	8.00	8	-0.148	112	72
М0	9101	9	0.093	0	9	3.57	2000	2000	2000	0	9	5.56	1.000	0.017	8.00	8	-1.104	112	72
СП	9101	9	1.000	22	22	1.56	873	872	865	17	17	3.12	1.288	0.343	8.00	8	-0.011	112	72
К	9102	6	0.282	0	9	16.67	2000	2000	2000	0	9	11.11	1.000	0.033	7.95	7	0.728	24	36
Т	9102	6	0.155	0	9	16.67	2000	2000	2000	0	9	11.11	1.000	0.048	7.97	7	3.312	24	36
Б	9102	6	0.085	0	9	16.67	2000	2000	2000	0	9	11.11	1.000	0.397	7.85	4	-0.532	24	36
М0	9102	6	0.338	0	9	16.67	2000	2000	2000	0	9	11.11	1.000	0.077	8.00	8	-0.667	24	36
СП	9102	6	1.000	42	42	4.18	501	500	502	68	68	1.62	0.582	0.353	8.00	8	-0.025	24	36
Т	9102	9	0.050	0	9	11.11	2000	2000	2000	0	9	5.00	1.000	0.097	8.00	8	3.924	36	80
К	9102	9	0.056	0	9	11.11	2000	2000	2000	1	10	5.00	1.000	0.713	8.00	8	1.802	36	80
Б	9102	9	0.037	0	9	11.11	2000	2000	2000	0	9	5.00	1.000	1.264	7.90	4	-0.609	36	80
М0	9102	9	0.106	0	9	11.11	2000	2000	2000	0	9	5.00	1.000	0.046	8.00	8	-0.862	36	80
СП	9102	9	1.000	17	17	6.86	1232	1233	1237	43	43	1.16	0.375	0.697	8.00	8	-0.014	36	80
К	9103	6	0.056	0	9	14.29	2000	2000	2000	0	9	14.29	1.000	0.144	8.00	8	0.738	28	28
Т	9103	6	0.113	0	9	14.29	2000	2000	2000	0	9	14.29	1.000	0.920	7.92	6	3.008	28	28
Б	9103	6	0.085	0	9	14.29	2000	2000	2000	0	9	14.29	1.000	0.157	8.00	8	-0.453	28	28
М0	9103	6	0.070	0	9	14.29	2000	2000	2000	0	9	14.29	1.000	0.206	8.00	8	-0.970	28	28
СП	9103	6	1.000	49	49	3.29	461	460	461	65	65	2.18	0.662	0.163	8.00	8	-0.023	28	28
К	9103	9	0.025	0	9	4.17	2000	2000	2000	0	9	4.00	1.000	0.246	8.00	8	0.687	96	100
Т	9103	9	0.031	0	9	4.17	2000	2000	2000	0	9	4.00	1.000	0.099	8.00	8	5.516	96	100
Б	9103	9	0.037	0	9	4.17	2000	2000	2000	0	9	4.00	1.000	0.076	8.00	8	-0.366	96	100
М0	9103	9	0.031	0	9	4.17	2000	2000	2000	0	9	4.00	1.000	0.020	8.00	8	-0.261	96	100
СП	9103	9	1.000	25	25	1.61	778	774	771	22	22	1.77	1.143	0.284	8.00	8	-0.013	96	100
К	9104	6	0.113	0	9	7.14	2000	2000	2000	0	9	11.11	1.000	0.099	8.00	8	2.272	56	36
Б	9104	6	0.085	0	9	7.14	2000	2000	2000	0	9	11.11	1.000	0.103	8.00	8	-0.132	56	36
Т	9104	6	0.056	0	9	7.14	2000	2000	2000	0	9	11.11	1.000	0.117	8.00	8	4.524	56	36
М0	9104	6	0.423	0	9	7.14	2000	2000	2000	0	9	11.11	1.000	0.030	8.00	8	-1.044	56	36
СП	9104	6	1.000	69	69	1.02	288	285	288	53	53	2.08	1.308	0.234	8.00	8	-0.015	56	36
К	9104	9	0.118	0	9	7.69	2000	2000	2000	0	9	4.76	1.000	0.081	7.95	6	2.765	52	84
Т	9104	9	0.037	0	9	7.69	2000	2000	2000	0	9	4.76	1.000	0.197	7.97	7	3.630	52	84
Б	9104	9	0.037	0	9	7.69	2000	2000	2000	0	9	4.76	1.000	0.043	8.00	8	-0.533	52	84
М0	9104	9	0.056	0	9	7.69	2000	2000	2000	0	9	4.76	1.000	0.017	8.00	8	0.124	52	84
СП	9104	9	1.000	38	38	2.35	503	613	613	24	25	1.72	1.183	0.356	8.00	8	-0.013	52	84
Т	9105	6	0.169	0	9	12.50	2000	2000	2000	0	9	14.29	1.000	0.059	7.95	6	3.227	32	28
К	9105	6	0.085	0	9	12.50	2000	2000	2000	0	9	14.29	1.000	0.249	7.92	5	1.075	32	28
Б	9105	6	0.099	0	9	12.50	2000	2000	2000	0	9	14.29	1.000	0.155	8.00	8	-0.268	32	28
М0	9105	6	0.141	0	9	12.50	2000	2000	2000	0	9	14.29	1.000	0.081	8.00	8	0.171	32	28
СП	9105	6	1.000	73	73	1.69	271	272	271	41	41	3.50	1.808	0.190	8.00	8	-0.025	32	28
К	9105	9	0.043	0	9	3.57	2000	2000	2000	0	9	10.00	1.000	0.214	7.88	4	1.414	112	40
Т	9105	9	0.043	0	9	3.57	2000	2000	2000	0	9	10.00	1.000	0.233	7.95	6	2.880	112	40
Б	9105	9	0.031	0	9	3.57	2000	2000	2000	0	9	10.00	1.000	0.099	8.00	8	-0.303	112	40
М0	9105	9	0.118	0	9	3.57	2000	2000	2000	0	9	10.00	1.000	0.018	7.90	6	0.476	112	40
СП	9105	9	1.000	25	25	1.37	766	769	768	18	18	5.97	1.553	0.196	8.00	8	-0.017	112	40
Т	9106	6	0.056	0	9	14.29	2000	2000	2000	0	9	10.00	1.000	0.145	8.00	8	4.737	28	40
К	9106	6	0.070	0	9	14.29	2000	2000	2000	0	9	10.00	1.000	0.173	8.00	8	1.478	28	40
Б	9106	6	0.099	0	9	14.29	2000	2000	2000	0	9	10.00	1.000	0.236	8.00	8	-0.230	28	40
М0	9106	6	0.113	0	9	14.29	2000	2000	2000	0	9	10.00	1.000	0.014	8.00	8	-0.688	28	40
СП	9106	6	1.000	54	54	2.61	364	366	365	99	99	0.97	0.534	0.219	8.00	8	-0.019	28	40
К	9106	9	0.062	0	9	7.69	2000	2000	2000	0	9	4.17	1.000	0.462	7.92	5	1.844	52	96
Т	9106	9	0.037	0	9	7.69	2000	2000	2000	0	9	4.17	1.000	1.083	8.00	8	3.731	52	96
Б	9106	9	0.025	0	9	7.69	2000	2000	2000	0	9	4.17	1.000	0.142	8.00	8	-0.390	52	96
М0	9106	9	0.081	0	9	7.69	2000	2000	2000	0	9	4.17	1.000	0.016	8.00	8	-0.001	52	96
К	9107	6	0.155	0	9	11.11	2000	2000	2000	1	10	6.67	1.000	0.338	8.00	8	1.474	36	60
СП	9106	9	1.000	18	18	4.15	1086	1084	1076	30	30	1.33	0.590	0.365	8.00	8	-0.015	52	96
Т	9107	6	0.070	0	9	11.11	2000	2000	2000	0	9	6.67	1.000	0.938	8.00	8	3.789	36	60
Б	9107	6	0.113	0	9	11.11	2000	2000	2000	0	9	6.67	1.000	0.112	8.00	8	-0.336	36	60
М0	9107	6	0.070	0	9	11.11	2000	2000	2000	0	9	6.67	1.000	0.051	8.00	8	0.898	36	60
К	9107	9	0.031	1	10	4.17	2000	2000	2000	0	9	4.00	1.000	0.289	8.00	8	0.707	96	100
Т	9107	9	1.000	6	11	3.74	1823	1796	1605	5	10	3.96	1.102	0.049	8.00	8	2.100	96	100
СП	9107	6	1.000	54	54	2.01	364	364	361	64	64	1.04	0.861	0.156	8.00	8	-0.022	36	60
М0	9107	9	0.124	0	9	4.17	2000	2000	2000	0	9	4.00	1.000	0.069	8.00	8	-0.935	96	100
Б	9107	9	0.062	0	9	4.17	2000	2000	2000	0	9	4.00	1.000	0.158	8.00	8	-0.348	96	100
