нуль-время	4601	0.739	0.752	0.157	0.027	5.729
порядок	4602	0.943	0.949	0.225	0.023	9.813
порядок	4601	0.943	0.942	0.202	0.021	9.416
нуль-время	4602	0.668	0.673	0.127	0.025	5.082
нуль-время	4603	0.686	0.759	0.136	0.026	5.310
порядок	4603	0.945	0.935	0.240	0.024	9.821
нуль-время	4604	0.570	0.662	0.119	0.025	4.738
порядок	4604	0.938	0.942	0.218	0.024	9.209
нуль-время	4605	0.615	0.621	0.119	0.024	4.947
порядок	4605	0.930	0.924	0.272	0.030	9.104
порядок	4606	0.948	0.945	0.207	0.021	10.004
нуль-время	4606	0.623	0.667	0.135	0.027	4.919
