ЮЛС140	5601	340	240	1049	219	499.5	28141	0.097	0.168	0.525	349550	2.911	1.214	4.125	0.251	1.000
ЮЛС	5601	368	253	1049	215	526	61647	0.115	0.549	0.818	321335	2.888	1.257	4.145	0.268	0.988
ЮЛС	5602	342	239	1049	218	478	34877	0.140	0.675	0.972	342096	2.793	1.163	3.956	0.256	1.000
ЮЛС140	5602	377	247	1049	224	538	31733	0.104	0.270	0.642	344419	2.824	0.791	3.615	0.237	1.026
ЮЛС140	5603	388	249	1049	215	556	46072	0.097	0.244	0.593	330964	2.924	0.774	3.698	0.285	0.964
ЮЛС	5604	370	241	1049	222	541	33878	0.145	0.777	1.101	342856	2.855	1.142	3.997	0.259	1.002
ЮЛС	5603	393	272	1049	232	633	45720	0.113	0.493	0.866	331545	2.825	1.833	4.658	0.245	1.020
ЮЛС140	5604	392	272	1049	244	447.5	38696	0.125	0.315	0.711	330415	2.835	0.379	3.213	0.265	0.987
ЮЛС140	5605	356	240	1049	230	555	26008	0.087	0.190	0.526	363757	2.819	1.140	3.959	0.233	1.034
ЮЛС	5605	320	234	1049	226	467	23986	0.116	0.708	1.003	333687	2.823	1.397	4.219	0.262	0.995
ЮЛС140	5606	349	243	1049	222	444.5	28578	0.083	0.326	0.652	351950	2.883	1.141	4.024	0.243	1.025
ЮЛС	5606	362	230	1049	216	553	26664	0.100	0.560	0.878	338918	2.833	1.219	4.052	0.247	1.006
