Z0	2901	0.6278	1.0511	0.6103	0.1245	0.7410	0.9436	0.3641	0.7141	0.9024	0.4077	0.1730	0.8291	0.8974	0.1895
ZG	2901	0.9987	1.1572	0.1491	0.1018	0.1942	0.2233	0.0395	0.9735	1.2027	0.1543	0.1303	0.2308	0.0192	0.0169
00	2901	0.6680	0.4843	0.5312	0.1153	0.7331	0.9091	0.2772	0.6897	0.5024	0.5559	0.1388	0.8343	0.9290	0.3129
0G	2901	0.8490	1.1280	0.1941	0.1306	0.2672	0.0687	0.0558	0.3768	0.3261	0.2057	0.1489	0.3165	0.1519	0.1126
0G	2902	0.8484	1.0485	0.1740	0.1151	0.2261	0.0000	0.0799	0.8530	0.8480	0.2175	0.1513	0.3049	0.1463	0.1081
00	2902	0.8351	0.7951	0.4939	0.1386	0.7692	0.8585	0.2486	0.7425	1.3720	0.5530	0.1487	0.8187	0.9223	0.3971
ZG	2902	0.9990	0.6106	0.1473	0.1358	0.1300	0.0100	0.0678	1.0009	0.7464	0.1048	0.1656	0.1364	0.1818	0.0175
Z0	2902	0.7216	1.6882	0.5076	0.1609	0.8078	0.9369	0.3092	0.7575	0.2588	0.5594	0.1561	0.6089	0.8771	0.4118
00	2903	0.6626	0.6542	0.5618	0.2180	0.6893	0.8964	0.2850	0.8239	0.6825	0.5068	0.2389	0.7297	0.8919	0.2830
Z0	2903	0.7032	0.7764	0.5366	0.2454	0.6299	0.8279	0.1872	0.9571	0.7107	0.4934	0.2035	0.7097	0.8978	0.1842
ZG	2903	0.9999	0.9137	0.2901	0.2199	0.1989	0.0442	0.1183	0.9101	2.2567	0.2744	0.1637	0.5632	0.0690	0.0609
0G	2903	0.7062	0.8149	0.2696	0.2275	0.2595	0.0506	0.1256	0.5503	0.9942	0.3273	0.1816	0.3444	0.2222	0.2339
00	2904	0.9253	1.4622	0.4985	0.1728	0.5565	0.8363	0.1895	0.9721	0.9202	0.4189	0.1591	0.5419	0.7419	0.1623
Z0	2904	0.8929	1.2384	0.4979	0.1969	0.6186	0.8955	0.2032	0.7287	0.8635	0.5593	0.2643	0.6590	0.8387	0.3510
0G	2904	0.9468	1.3724	0.2084	0.2218	0.2418	0.0327	0.0573	0.7267	0.9536	0.3065	0.2150	0.4444	0.0606	0.1189
ZG	2904	0.9950	1.5319	0.2037	0.2292	0.1307	0.0719	0.0952	0.8938	0.9161	0.2442	0.1788	0.3895	0.0421	0.0651
