нуль	4502	7	0.989,0.986,0.989,0.980,0.986,0.986,0.989	0.997,0.997,0.997,0.997,0.997,0.997,0.997	0.5188	0.5355	1492
порядок	4501	7	0.989,0.989,0.982,0.991,0.989,0.991,0.989	0.999,0.999,0.999,0.999,0.999,0.999,0.999	0.7658	1.0000	1469
порядок	4502	1	0.961	0.995	0.7509	1.0000	1445
нуль	4501	5	0.998,0.849,0.998,0.993,0.998	0.853,0.900,0.964,0.844,0.819	0.5129	0.5333	1472
порядок	4503	1	0.997	0.993	0.7479	1.0000	1448
нуль	4503	8	0.975,0.977,0.979,0.981,0.964,0.977,0.988,0.977	0.999,0.999,0.999,0.998,0.999,0.997,0.997,0.999	0.5142	0.5209	1509
нуль	4504	2	0.999,0.999	0.973,0.977	0.5045	0.5354	1453
порядок	4504	4	0.999,0.999,0.999,0.999	0.976,0.974,0.977,0.976	0.7574	1.0000	1513
порядок	4505	4	0.964,0.964,0.963,0.964	0.989,0.991,0.991,0.989	0.7627	1.0000	1521
нуль	4505	3	0.999,0.999,0.999	0.994,0.992,0.994	0.5124	0.5157	1493
порядок	4506	6	0.969,0.980,0.954,0.984,0.975,0.982	0.986,0.986,0.988,0.986,0.986,0.984	0.7526	1.0000	1439
нуль	4506	6	0.788,0.686,0.623,0.668,0.681,0.653	0.998,0.996,0.998,0.996,0.998,0.998	0.5118	0.5131	1487
