нуль-время	4601	7	0.627,0.603,0.555,0.632,0.581,0.547,0.610	0.898,0.859,0.729,0.795,0.890,0.697,0.881	0.869,0.868,0.850,0.876,0.852,0.845,0.873	0.964,0.943,0.914,0.928,0.952,0.893,0.953	0.5124	0.5358	1411
порядок	4602	4	0.422,0.360,0.342,0.398	0.959,0.901,0.905,0.968	0.823,0.761,0.758,0.780	0.990,0.975,0.976,0.992	0.7633	1.0000	1521
порядок	4601	4	0.972,0.939,0.881,0.976	0.910,0.962,0.795,0.943	0.988,0.972,0.966,0.991	0.958,0.984,0.936,0.974	0.7654	1.0000	1475
нуль-время	4602	4	0.036,0.036,0.082,0.064	0.982,0.982,0.982,0.982	0.461,0.417,0.518,0.443	0.995,0.995,0.995,0.995	0.5037	0.5402	1505
порядок	4603	4	0.956,0.887,0.961,0.947	0.886,0.948,0.904,0.904	0.985,0.945,0.984,0.974	0.962,0.974,0.963,0.958	0.7543	1.0000	1457
нуль-время	4603	4	0.892,0.945,0.891,0.982	0.937,0.909,0.936,0.894	0.973,0.986,0.970,0.995	0.984,0.977,0.984,0.972	0.5138	0.5575	1417
нуль-время	4604	8	0.945,0.945,0.945,0.945,0.945,0.945,0.945,0.945	0.982,0.982,0.982,0.982,0.982,0.982,0.982,0.982	0.986,0.986,0.986,0.986,0.986,0.986,0.986,0.986	0.995,0.995,0.995,0.995,0.995,0.995,0.995,0.995	0.5265	0.5419	1494
порядок	4604	4	0.977,0.973,0.972,0.973	0.843,0.685,0.881,0.829	0.992,0.991,0.991,0.991	0.917,0.860,0.958,0.937	0.7455	1.0000	1458
порядок	4605	5	0.969,0.969,0.969,0.969,0.969	0.314,0.089,0.062,0.066,0.089	0.987,0.992,0.988,0.987,0.987	0.664,0.330,0.309,0.271,0.315	0.7441	1.0000	1477
нуль-время	4605	6	0.935,0.936,0.944,0.935,0.936,0.936	0.019,0.018,0.019,0.019,0.018,0.046	0.970,0.971,0.975,0.973,0.973,0.970	0.164,0.215,0.190,0.203,0.202,0.222	0.5117	0.5297	1448
порядок	4606	4	0.934,0.943,0.943,0.943	0.981,0.981,0.981,0.981	0.977,0.979,0.979,0.979	0.991,0.991,0.991,0.991	0.7432	1.0000	1433
нуль-время	4606	4	0.909,0.640,0.505,0.518	0.945,0.234,0.900,0.422	0.968,0.833,0.847,0.749	0.982,0.658,0.970,0.718	0.5093	0.5390	1554
