нуль-время	4701	0.684	0.713	0.136	0.027	5.086
нуль-время	4702	0.543	0.561	0.121	0.026	4.625
порядок	4702	0.938	0.942	0.203	0.022	9.382
порядок	4701	0.933	0.928	0.252	0.027	9.167
порядок	4703	0.947	0.942	0.210	0.022	9.380
нуль-время	4704	0.568	0.630	0.124	0.028	4.447
нуль-время	4703	0.693	0.686	0.122	0.023	5.206
порядок	4704	0.925	0.945	0.248	0.027	9.168
порядок	4705	0.941	0.941	0.214	0.022	9.545
порядок	4706	0.924	0.920	0.285	0.031	9.067
нуль-время	4705	0.726	0.694	0.120	0.022	5.405
нуль-время	4706	0.648	0.632	0.133	0.026	5.100
