A0	3101	0	0	0	0.01934
B0	3101	1	0	0	0.48416
B	3101	1	2000	0	0.39813
A	3101	0	2000	0	0.36635
Bn	3101	0	2000	0	0.21264
A0	3101	0	0	1	0.62846
B	3101	1	2000	1	0.41602
A	3101	0	2000	1	0.39265
B0	3101	1	0	1	0.01810
Bn	3101	0	2000	1	0.22858
A	3102	0	2000	0	0.16481
B	3102	1	2000	0	0.39511
A0	3102	0	0	0	0.02159
Bn	3102	0	2000	0	0.50092
B0	3102	1	0	0	0.29602
A	3102	0	2000	1	0.13019
B	3102	1	2000	1	0.41264
B0	3102	1	0	1	0.01674
A0	3102	0	0	1	0.35116
Bn	3102	0	2000	1	0.46054
A0	3103	0	0	0	0.01809
A	3103	0	2000	0	0.46666
B0	3103	1	0	0	0.44605
B	3103	1	2000	0	0.44047
A	3103	0	2000	1	0.36592
Bn	3103	0	2000	0	0.15292
A0	3103	0	0	1	0.29445
B	3103	1	2000	1	0.47491
B0	3103	1	0	1	0.01758
A	3104	0	2000	0	0.10425
Bn	3103	0	2000	1	0.59139
B	3104	1	2000	0	0.26521
A0	3104	0	0	0	0.01847
Bn	3104	0	2000	0	0.29594
B0	3104	1	0	0	0.23605
A	3104	0	2000	1	0.10780
B	3104	1	2000	1	0.30925
Bn	3104	0	2000	1	0.33855
A0	3104	0	0	1	0.26313
B0	3104	1	0	1	0.01753
A	3105	0	2000	0	0.50941
B	3105	1	2000	0	0.54059
A0	3105	0	0	0	0.01952
B0	3105	1	0	0	1.26962
Bn	3105	0	2000	0	0.12090
A	3105	0	2000	1	0.48805
A0	3105	0	0	1	0.66898
B	3105	1	2000	1	0.54518
Bn	3105	0	2000	1	0.06462
B0	3105	1	0	1	0.01994
A	3106	0	2000	0	0.15271
B	3106	1	2000	0	0.34589
A0	3106	0	0	0	0.02017
B0	3106	1	0	0	0.35490
Bn	3106	0	2000	0	0.13597
A	3106	0	2000	1	0.86638
B	3106	1	2000	1	0.45079
A0	3106	0	0	1	1.79448
B0	3106	1	0	1	0.02053
Bn	3106	0	2000	1	0.12486
A	3107	0	2000	0	0.60385
A0	3107	0	0	0	0.02148
B	3107	1	2000	0	0.42628
B0	3107	1	0	0	0.27168
A	3107	0	2000	1	0.50163
Bn	3107	0	2000	0	0.41514
B	3107	1	2000	1	0.43509
A0	3107	0	0	1	0.44863
B0	3107	1	0	1	0.02019
Bn	3107	0	2000	1	0.48197
A	3108	0	2000	0	0.39345
B	3108	1	2000	0	0.50099
B0	3108	1	0	0	0.06902
A0	3108	0	0	0	0.01846
Bn	3108	0	2000	0	0.50863
A	3108	0	2000	1	0.38176
A0	3108	0	0	1	0.32888
B	3108	1	2000	1	0.43220
B0	3108	1	0	1	0.02035
Bn	3108	0	2000	1	0.45303
A	3109	0	2000	0	0.29311
A0	3109	0	0	0	0.02146
B	3109	1	2000	0	0.28659
B0	3109	1	0	0	0.35723
Bn	3109	0	2000	0	0.61909
A	3109	0	2000	1	0.30088
B	3109	1	2000	1	0.21890
A0	3109	0	0	1	0.44169
B0	3109	1	0	1	0.01880
Bn	3109	0	2000	1	0.37614
A	3110	0	2000	0	0.18032
B	3110	1	2000	0	0.17991
A0	3110	0	0	0	0.01584
B0	3110	1	0	0	0.08745
Bn	3110	0	2000	0	0.44535
A	3110	0	2000	1	0.21927
B	3110	1	2000	1	0.38181
A0	3110	0	0	1	0.16342
B0	3110	1	0	1	0.01732
Bn	3110	0	2000	1	0.46724
B	3111	1	2000	0	0.17222
A	3111	0	2000	0	0.51882
A0	3111	0	0	0	0.01729
B0	3111	1	0	0	0.18029
A	3111	0	2000	1	0.57181
Bn	3111	0	2000	0	0.09226
B	3111	1	2000	1	0.16789
A0	3111	0	0	1	0.43665
B0	3111	1	0	1	0.01834
A	3112	0	2000	0	0.10324
Bn	3111	0	2000	1	0.10521
B	3112	1	2000	0	0.38473
A0	3112	0	0	0	0.01877
B0	3112	1	0	0	0.57249
Bn	3112	0	2000	0	0.45397
A	3112	0	2000	1	0.07931
A0	3112	0	0	1	0.19402
B	3112	1	2000	1	0.41985
B0	3112	1	0	1	0.01806
Bn	3112	0	2000	1	0.49984
