B0	6801	1	0	0	1.06641
B	6801	1	2000	0	0.47532
A0	6801	0	0	0	0.01654
A	6801	0	2000	0	0.40087
B	6801	1	2000	1	0.41235
Bn	6801	0	2000	0	0.35654
A	6801	0	2000	1	0.47962
A0	6801	0	0	1	0.17407
B0	6801	1	0	1	0.01831
Bn	6801	0	2000	1	0.30793
A	6802	0	2000	0	0.35228
B	6802	1	2000	0	0.31314
A0	6802	0	0	0	0.02169
B0	6802	1	0	0	0.26339
Bn	6802	0	2000	0	0.38437
A	6802	0	2000	1	0.39041
A0	6802	0	0	1	0.46723
B	6802	1	2000	1	0.31904
B0	6802	1	0	1	0.01863
Bn	6802	0	2000	1	0.38201
A	6803	0	2000	0	0.46048
B	6803	1	2000	0	0.28741
A0	6803	0	0	0	0.02130
B0	6803	1	0	0	0.21375
Bn	6803	0	2000	0	0.26566
A	6803	0	2000	1	0.38909
B	6803	1	2000	1	0.23364
A0	6803	0	0	1	0.52110
B0	6803	1	0	1	0.01832
Bn	6803	0	2000	1	0.27739
A	6804	0	2000	0	0.38233
B	6804	1	2000	0	0.31709
A0	6804	0	0	0	0.01918
B0	6804	1	0	0	0.56933
Bn	6804	0	2000	0	0.56774
A	6804	0	2000	1	0.36766
B	6804	1	2000	1	0.39248
A0	6804	0	0	1	0.20505
B0	6804	1	0	1	0.02058
Bn	6804	0	2000	1	0.53242
A	6805	0	2000	0	0.51239
B	6805	1	2000	0	0.43263
A0	6805	0	0	0	0.01679
B0	6805	1	0	0	0.46719
Bn	6805	0	2000	0	0.50857
A	6805	0	2000	1	0.49326
A0	6805	0	0	1	0.13730
B	6805	1	2000	1	0.35486
B0	6805	1	0	1	0.01788
Bn	6805	0	2000	1	0.50505
A	6806	0	2000	0	0.33757
B	6806	1	2000	0	0.41737
A0	6806	0	0	0	0.02566
B0	6806	1	0	0	0.67860
Bn	6806	0	2000	0	0.39918
A	6806	0	2000	1	0.51494
B	6806	1	2000	1	0.37699
A0	6806	0	0	1	0.44248
B0	6806	1	0	1	0.02142
Bn	6806	0	2000	1	0.38097
A	6807	0	2000	0	0.37379
B	6807	1	2000	0	0.35407
B0	6807	1	0	0	0.69360
A0	6807	0	0	0	0.01999
Bn	6807	0	2000	0	0.42488
A	6807	0	2000	1	0.38634
B	6807	1	2000	1	0.35444
A0	6807	0	0	1	0.91328
B0	6807	1	0	1	0.02005
Bn	6807	0	2000	1	0.44020
B	6808	1	2000	0	0.45511
A	6808	0	2000	0	0.44296
B0	6808	1	0	0	0.25761
A0	6808	0	0	0	0.02083
Bn	6808	0	2000	0	0.20846
A	6808	0	2000	1	0.44975
B	6808	1	2000	1	0.36598
A0	6808	0	0	1	1.00089
B0	6808	1	0	1	0.02231
Bn	6808	0	2000	1	0.20246
A	6809	0	2000	0	0.47997
B	6809	1	2000	0	0.46478
A0	6809	0	0	0	0.01958
B0	6809	1	0	0	0.88082
Bn	6809	0	2000	0	0.61825
A	6809	0	2000	1	0.43483
B	6809	1	2000	1	0.42251
A0	6809	0	0	1	1.06026
B0	6809	1	0	1	0.01951
Bn	6809	0	2000	1	0.55485
B	6810	1	2000	0	0.56259
A	6810	0	2000	0	0.38729
B0	6810	1	0	0	0.49628
A0	6810	0	0	0	0.01894
Bn	6810	0	2000	0	0.46960
A	6810	0	2000	1	0.40421
B	6810	1	2000	1	0.49936
B0	6810	1	0	1	0.02131
A0	6810	0	0	1	0.30205
Bn	6810	0	2000	1	0.47816
A	6811	0	2000	0	0.52065
B	6811	1	2000	0	0.16293
A0	6811	0	0	0	0.01965
B0	6811	1	0	0	0.37593
Bn	6811	0	2000	0	0.51977
A	6811	0	2000	1	0.53713
B	6811	1	2000	1	0.16507
A0	6811	0	0	1	0.56178
B0	6811	1	0	1	0.02216
Bn	6811	0	2000	1	0.43971
A	6812	0	2000	0	0.46700
B	6812	1	2000	0	0.33808
A0	6812	0	0	0	0.02099
B0	6812	1	0	0	0.57880
Bn	6812	0	2000	0	0.48976
A	6812	0	2000	1	0.47331
B	6812	1	2000	1	0.28434
A0	6812	0	0	1	0.64052
B0	6812	1	0	1	0.02110
Bn	6812	0	2000	1	0.51780
