B	6801	1	2000	0	0.61361
A	6801	0	2000	0	0.44937
A0	6801	0	0	0	0.01934
B0	6801	1	0	0	0.97879
Bn	6801	0	2000	0	0.43898
A	6801	0	2000	1	0.45362
B	6801	1	2000	1	0.47249
A0	6801	0	0	1	0.91971
B0	6801	1	0	1	0.01996
Bn	6801	0	2000	1	0.43945
A	6802	0	2000	0	0.18702
B	6802	1	2000	0	0.52906
A0	6802	0	0	0	0.02053
B0	6802	1	0	0	0.92503
A	6802	0	2000	1	0.64216
Bn	6802	0	2000	0	0.36060
B	6802	1	2000	1	0.34418
A0	6802	0	0	1	1.25600
B0	6802	1	0	1	0.01886
Bn	6802	0	2000	1	0.35839
A	6803	0	2000	0	0.28451
B	6803	1	2000	0	0.24149
A0	6803	0	0	0	0.01990
B0	6803	1	0	0	0.25732
Bn	6803	0	2000	0	0.34824
A	6803	0	2000	1	0.40946
B	6803	1	2000	1	0.30722
A0	6803	0	0	1	0.76256
B0	6803	1	0	1	0.01976
Bn	6803	0	2000	1	0.39645
A	6804	0	2000	0	0.40043
B	6804	1	2000	0	0.29226
A0	6804	0	0	0	0.02263
B0	6804	1	0	0	0.16763
Bn	6804	0	2000	0	0.36563
A	6804	0	2000	1	0.27854
B	6804	1	2000	1	0.33298
A0	6804	0	0	1	0.14817
B0	6804	1	0	1	0.01976
Bn	6804	0	2000	1	0.39497
B	6805	1	2000	0	0.45295
A	6805	0	2000	0	0.49753
A0	6805	0	0	0	0.01940
B0	6805	1	0	0	0.47765
Bn	6805	0	2000	0	0.62444
A	6805	0	2000	1	0.63428
B	6805	1	2000	1	0.33992
A0	6805	0	0	1	0.33293
B0	6805	1	0	1	0.02044
Bn	6805	0	2000	1	0.62012
A	6806	0	2000	0	0.39773
B	6806	1	2000	0	0.30520
A0	6806	0	0	0	0.02286
B0	6806	1	0	0	0.50664
Bn	6806	0	2000	0	0.47387
A	6806	0	2000	1	0.35815
A0	6806	0	0	1	0.50160
B	6806	1	2000	1	0.29864
B0	6806	1	0	1	0.02031
Bn	6806	0	2000	1	0.51095
A	6807	0	2000	0	0.29563
B	6807	1	2000	0	0.47173
A0	6807	0	0	0	0.02180
B0	6807	1	0	0	0.72816
Bn	6807	0	2000	0	0.25943
A	6807	0	2000	1	0.25636
B	6807	1	2000	1	0.33028
A0	6807	0	0	1	0.50414
B0	6807	1	0	1	0.02083
Bn	6807	0	2000	1	0.34906
B	6808	1	2000	0	0.35523
A	6808	0	2000	0	0.21851
A0	6808	0	0	0	0.02122
B0	6808	1	0	0	1.01105
Bn	6808	0	2000	0	0.39312
A	6808	0	2000	1	0.26550
B	6808	1	2000	1	0.24208
A0	6808	0	0	1	0.41447
B0	6808	1	0	1	0.02032
Bn	6808	0	2000	1	0.31549
A	6809	0	2000	0	0.29818
B	6809	1	2000	0	0.30661
A0	6809	0	0	0	0.01954
B0	6809	1	0	0	0.42597
Bn	6809	0	2000	0	0.28387
A	6809	0	2000	1	0.29361
A0	6809	0	0	1	0.63202
B	6809	1	2000	1	0.28463
B0	6809	1	0	1	0.01905
Bn	6809	0	2000	1	0.27124
A	6810	0	2000	0	0.53204
B	6810	1	2000	0	0.30966
A0	6810	0	0	0	0.01715
B0	6810	1	0	0	0.19886
A	6810	0	2000	1	0.47578
B	6810	1	2000	1	0.30036
Bn	6810	0	2000	0	0.37551
A0	6810	0	0	1	0.24638
B0	6810	1	0	1	0.01568
Bn	6810	0	2000	1	0.45909
B	6811	1	2000	0	0.48379
A	6811	0	2000	0	0.34041
A0	6811	0	0	0	0.02099
B0	6811	1	0	0	0.38619
Bn	6811	0	2000	0	0.47390
A	6811	0	2000	1	0.44328
B	6811	1	2000	1	0.41209
A0	6811	0	0	1	0.51857
B0	6811	1	0	1	0.01887
Bn	6811	0	2000	1	0.49262
B	6812	1	2000	0	0.30401
A0	6812	0	0	0	0.02090
B0	6812	1	0	0	0.46302
A	6812	0	2000	0	0.21917
Bn	6812	0	2000	0	0.16327
B	6812	1	2000	1	0.33281
A	6812	0	2000	1	0.20893
A0	6812	0	0	1	0.46450
B0	6812	1	0	1	0.02068
Bn	6812	0	2000	1	0.13920
