B	7101	1	2000	0	0.30346
A	7101	0	2000	0	0.41213
B0	7101	1	0	0	0.09901
A0	7101	0	0	0	0.01865
Bn	7101	0	2000	0	0.29656
A	7101	0	2000	1	0.41024
B	7101	1	2000	1	0.34783
A0	7101	0	0	1	0.24654
B0	7101	1	0	1	0.01753
Bn	7101	0	2000	1	0.88867
A	7102	0	2000	0	0.37557
B	7102	1	2000	0	0.30608
A0	7102	0	0	0	0.02715
B0	7102	1	0	0	0.12348
Bn	7102	0	2000	0	0.46062
A	7102	0	2000	1	0.43013
B	7102	1	2000	1	0.16730
A0	7102	0	0	1	0.19181
B0	7102	1	0	1	0.02084
Bn	7102	0	2000	1	0.24642
A	7103	0	2000	0	0.18022
B	7103	1	2000	0	0.45449
A0	7103	0	0	0	0.02157
B0	7103	1	0	0	0.46340
Bn	7103	0	2000	0	0.40725
A	7103	0	2000	1	0.21454
B	7103	1	2000	1	0.29354
A0	7103	0	0	1	0.25370
B0	7103	1	0	1	0.01970
Bn	7103	0	2000	1	0.47955
A	7104	0	2000	0	0.31267
A0	7104	0	0	0	0.01649
B	7104	1	2000	0	0.41949
B0	7104	1	0	0	0.34879
Bn	7104	0	2000	0	0.35473
A	7104	0	2000	1	0.39971
A0	7104	0	0	1	0.49114
B	7104	1	2000	1	0.49348
B0	7104	1	0	1	0.02161
Bn	7104	0	2000	1	0.43159
A	7105	0	2000	0	0.54566
A0	7105	0	0	0	0.01718
B	7105	1	2000	0	0.26840
B0	7105	1	0	0	0.58608
Bn	7105	0	2000	0	0.10901
A	7105	0	2000	1	0.60012
B	7105	1	2000	1	0.25088
A0	7105	0	0	1	0.67124
B0	7105	1	0	1	0.01864
Bn	7105	0	2000	1	0.09496
A	7106	0	2000	0	0.36534
B	7106	1	2000	0	0.33276
A0	7106	0	0	0	0.01766
B0	7106	1	0	0	0.68446
Bn	7106	0	2000	0	0.16433
A	7106	0	2000	1	0.46321
B	7106	1	2000	1	0.33665
A0	7106	0	0	1	0.73958
B0	7106	1	0	1	0.02059
Bn	7106	0	2000	1	0.30138
A	7107	0	2000	0	0.61893
B	7107	1	2000	0	0.34457
A0	7107	0	0	0	0.01734
B0	7107	1	0	0	0.65896
B	7107	1	2000	1	0.36150
A	7107	0	2000	1	0.48256
Bn	7107	0	2000	0	0.12643
A0	7107	0	0	1	0.40699
B0	7107	1	0	1	0.02089
Bn	7107	0	2000	1	0.93081
A	7108	0	2000	0	0.36051
B	7108	1	2000	0	0.47969
A0	7108	0	0	0	0.01770
B0	7108	1	0	0	0.83149
Bn	7108	0	2000	0	0.40687
A	7108	0	2000	1	0.35403
B	7108	1	2000	1	0.33829
A0	7108	0	0	1	0.50172
B0	7108	1	0	1	0.01448
Bn	7108	0	2000	1	0.41977
B	7109	1	2000	0	0.60944
A	7109	0	2000	0	0.22010
A0	7109	0	0	0	0.02088
B0	7109	1	0	0	0.96860
Bn	7109	0	2000	0	0.10431
B	7109	1	2000	1	0.52470
A	7109	0	2000	1	0.30612
A0	7109	0	0	1	0.34161
B0	7109	1	0	1	0.01982
Bn	7109	0	2000	1	0.79842
A	7110	0	2000	0	0.27972
B	7110	1	2000	0	0.38620
A0	7110	0	0	0	0.01862
B0	7110	1	0	0	0.23221
Bn	7110	0	2000	0	0.35901
A	7110	0	2000	1	0.73483
B	7110	1	2000	1	0.38237
A0	7110	0	0	1	1.40262
B0	7110	1	0	1	0.02207
Bn	7110	0	2000	1	0.60801
A0	7111	0	0	0	0.02170
A	7111	0	2000	0	0.39907
B	7111	1	2000	0	0.36626
B0	7111	1	0	0	0.08959
B	7111	1	2000	1	0.36263
A	7111	0	2000	1	0.48408
Bn	7111	0	2000	0	0.43357
A0	7111	0	0	1	0.56962
B0	7111	1	0	1	0.01710
Bn	7111	0	2000	1	0.42469
B	7112	1	2000	0	0.72415
A0	7112	0	0	0	0.02299
A	7112	0	2000	0	0.81544
B0	7112	1	0	0	1.23733
Bn	7112	0	2000	0	0.24011
B	7112	1	2000	1	0.20477
A0	7112	0	0	1	0.27703
A	7112	0	2000	1	0.56682
B0	7112	1	0	1	0.01717
Bn	7112	0	2000	1	0.33490
