A	8001	0	2000	0	0.14729
B	8001	1	2000	0	0.37897
A0	8001	0	0	0	0.01838
B0	8001	1	0	0	0.48131
Bn	8001	0	2000	0	0.47974
B	8001	1	2000	1	0.37663
A	8001	0	2000	1	0.32179
A0	8001	0	0	1	1.19478
B0	8001	1	0	1	0.02180
Bn	8001	0	2000	1	0.40763
A	8002	0	2000	0	0.40624
B	8002	1	2000	0	0.50741
A0	8002	0	0	0	0.02104
B0	8002	1	0	0	0.79231
Bn	8002	0	2000	0	0.28518
A	8002	0	2000	1	0.53103
A0	8002	0	0	1	0.69120
B	8002	1	2000	1	0.29415
B0	8002	1	0	1	0.02047
Bn	8002	0	2000	1	0.33602
A	8003	0	2000	0	0.47831
B	8003	1	2000	0	0.57186
A0	8003	0	0	0	0.02252
B0	8003	1	0	0	1.14146
Bn	8003	0	2000	0	0.33699
A	8003	0	2000	1	0.59438
B	8003	1	2000	1	0.15166
A0	8003	0	0	1	0.23266
B0	8003	1	0	1	0.01841
Bn	8003	0	2000	1	0.37002
A	8004	0	2000	0	0.15362
B	8004	1	2000	0	0.49445
A0	8004	0	0	0	0.01786
B0	8004	1	0	0	0.23121
Bn	8004	0	2000	0	0.53403
A	8004	0	2000	1	0.29505
B	8004	1	2000	1	0.30393
A0	8004	0	0	1	0.36965
B0	8004	1	0	1	0.02375
Bn	8004	0	2000	1	0.50270
A	8005	0	2000	0	0.45845
B	8005	1	2000	0	0.53667
A0	8005	0	0	0	0.02087
B0	8005	1	0	0	0.42094
Bn	8005	0	2000	0	0.30473
A	8005	0	2000	1	0.48659
A0	8005	0	0	1	0.34445
B	8005	1	2000	1	0.50684
B0	8005	1	0	1	0.02387
Bn	8005	0	2000	1	0.40655
A	8006	0	2000	0	0.37104
B	8006	1	2000	0	0.62988
A0	8006	0	0	0	0.01903
B0	8006	1	0	0	1.00513
Bn	8006	0	2000	0	0.41793
A	8006	0	2000	1	0.52230
B	8006	1	2000	1	0.41686
A0	8006	0	0	1	0.63776
B0	8006	1	0	1	0.01977
Bn	8006	0	2000	1	0.41588
A	8007	0	2000	0	0.43893
B	8007	1	2000	0	0.46833
A0	8007	0	0	0	0.01885
B0	8007	1	0	0	0.78405
Bn	8007	0	2000	0	0.50093
A	8007	0	2000	1	0.58025
B	8007	1	2000	1	0.12500
A0	8007	0	0	1	0.61736
B0	8007	1	0	1	0.01767
Bn	8007	0	2000	1	0.45210
A	8008	0	2000	0	0.44712
B	8008	1	2000	0	0.30031
A0	8008	0	0	0	0.01789
B0	8008	1	0	0	1.09181
Bn	8008	0	2000	0	0.28672
B	8008	1	2000	1	0.22078
A	8008	0	2000	1	0.55821
A0	8008	0	0	1	0.67859
B0	8008	1	0	1	0.01722
Bn	8008	0	2000	1	0.41240
A	8009	0	2000	0	0.26670
B	8009	1	2000	0	0.27909
A0	8009	0	0	0	0.02100
B0	8009	1	0	0	0.36147
Bn	8009	0	2000	0	0.19840
A	8009	0	2000	1	0.29287
B	8009	1	2000	1	0.19043
A0	8009	0	0	1	0.19608
B0	8009	1	0	1	0.01890
Bn	8009	0	2000	1	0.23360
A	8010	0	2000	0	0.48810
A0	8010	0	0	0	0.02001
B	8010	1	2000	0	0.53720
B0	8010	1	0	0	1.04164
Bn	8010	0	2000	0	0.43481
A	8010	0	2000	1	0.57741
B	8010	1	2000	1	0.08415
A0	8010	0	0	1	0.83271
B0	8010	1	0	1	0.02001
Bn	8010	0	2000	1	0.53821
A	8011	0	2000	0	0.49501
B	8011	1	2000	0	0.42382
A0	8011	0	0	0	0.01981
B0	8011	1	0	0	0.69212
Bn	8011	0	2000	0	0.37701
A	8011	0	2000	1	0.51843
B	8011	1	2000	1	0.36889
A0	8011	0	0	1	0.82326
B0	8011	1	0	1	0.02051
Bn	8011	0	2000	1	0.42969
A	8012	0	2000	0	0.37273
B	8012	1	2000	0	0.51292
B0	8012	1	0	0	0.30612
A0	8012	0	0	0	0.01761
Bn	8012	0	2000	0	0.27386
B	8012	1	2000	1	0.60840
A	8012	0	2000	1	0.40054
A0	8012	0	0	1	0.57562
B0	8012	1	0	1	0.02129
Bn	8012	0	2000	1	0.34450
