A	8201	0	2000	0	0.40596
B	8201	2	2000	0	0.55190
B0	8201	2	0	0	0.88474
A0	8201	0	0	0	0.02072
Bn	8201	0	2000	0	0.07539
A	8201	0	2000	2	0.50618
B	8201	2	2000	2	0.39194
A0	8201	0	0	2	0.46343
B0	8201	2	0	2	0.01943
Bn	8201	0	2000	2	0.81025
A	8202	0	2000	0	0.29498
B	8202	2	2000	0	0.72075
A0	8202	0	0	0	0.01780
B0	8202	2	0	0	0.83872
Bn	8202	0	2000	0	0.60655
A	8202	0	2000	2	0.47265
B	8202	2	2000	2	0.32106
A0	8202	0	0	2	0.45916
B0	8202	2	0	2	0.01719
Bn	8202	0	2000	2	0.53798
A	8203	0	2000	0	0.17153
B	8203	2	2000	0	0.41498
A0	8203	0	0	0	0.01963
B0	8203	2	0	0	0.55170
Bn	8203	0	2000	0	0.64052
A	8203	0	2000	2	0.36778
B	8203	2	2000	2	0.30411
A0	8203	0	0	2	0.37065
B0	8203	2	0	2	0.01909
Bn	8203	0	2000	2	0.57199
A	8204	0	2000	0	0.33353
B	8204	2	2000	0	0.56175
A0	8204	0	0	0	0.02415
B0	8204	2	0	0	0.96563
Bn	8204	0	2000	0	0.69737
A	8204	0	2000	2	0.55869
B	8204	2	2000	2	0.12360
A0	8204	0	0	2	0.32154
B0	8204	2	0	2	0.02021
Bn	8204	0	2000	2	0.53283
A	8205	0	2000	0	0.23079
A0	8205	0	0	0	0.02129
B	8205	2	2000	0	0.81519
B0	8205	2	0	0	0.60507
Bn	8205	0	2000	0	0.08132
A	8205	0	2000	2	0.49723
A0	8205	0	0	2	0.36728
B	8205	2	2000	2	0.25549
B0	8205	2	0	2	0.01995
Bn	8205	0	2000	2	0.37685
A	8206	0	2000	0	0.12991
B	8206	2	2000	0	0.90831
A0	8206	0	0	0	0.02373
B0	8206	2	0	0	0.67144
Bn	8206	0	2000	0	0.36625
A	8206	0	2000	2	0.53959
B	8206	2	2000	2	0.31984
A0	8206	0	0	2	0.60677
B0	8206	2	0	2	0.01963
Bn	8206	0	2000	2	0.62366
A	8207	0	2000	0	0.40042
B	8207	2	2000	0	0.52868
A0	8207	0	0	0	0.02473
B0	8207	2	0	0	0.58624
Bn	8207	0	2000	0	0.85569
A	8207	0	2000	2	1.14148
B	8207	2	2000	2	0.33183
A0	8207	0	0	2	2.06503
B0	8207	2	0	2	0.02133
Bn	8207	0	2000	2	0.54456
A	8208	0	2000	0	0.22160
B	8208	2	2000	0	0.28524
A0	8208	0	0	0	0.01481
B0	8208	2	0	0	0.57174
Bn	8208	0	2000	0	0.38216
A	8208	0	2000	2	0.49843
B	8208	2	2000	2	0.17571
A0	8208	0	0	2	0.40934
B0	8208	2	0	2	0.01719
Bn	8208	0	2000	2	0.42705
A	8209	0	2000	0	0.09655
B	8209	2	2000	0	0.25395
B0	8209	2	0	0	0.47665
A0	8209	0	0	0	0.03128
Bn	8209	0	2000	0	0.29640
A	8209	0	2000	2	0.50144
B	8209	2	2000	2	0.41052
B0	8209	2	0	2	0.02202
A0	8209	0	0	2	0.91998
Bn	8209	0	2000	2	0.41958
A	8210	0	2000	0	0.35005
B	8210	2	2000	0	0.47916
A0	8210	0	0	0	0.02455
B0	8210	2	0	0	0.58772
Bn	8210	0	2000	0	0.11897
A	8210	0	2000	2	0.47596
B	8210	2	2000	2	0.21102
A0	8210	0	0	2	0.40688
B0	8210	2	0	2	0.01861
Bn	8210	0	2000	2	0.48397
A	8211	0	2000	0	0.16453
B	8211	2	2000	0	0.38417
A0	8211	0	0	0	0.02514
B0	8211	2	0	0	0.64431
Bn	8211	0	2000	0	0.59805
A	8211	0	2000	2	0.59483
B	8211	2	2000	2	0.70073
A0	8211	0	0	2	0.69740
B0	8211	2	0	2	0.02208
Bn	8211	0	2000	2	0.54704
A	8212	0	2000	0	0.34967
B	8212	2	2000	0	0.41485
A0	8212	0	0	0	0.02072
B0	8212	2	0	0	0.55422
Bn	8212	0	2000	0	0.60469
A	8212	0	2000	2	0.53284
B	8212	2	2000	2	0.26824
A0	8212	0	0	2	0.40317
B0	8212	2	0	2	0.02232
Bn	8212	0	2000	2	0.42760
