Б140	5801	8	0.001	0.140	0.859	0.000	0.000	0.000	0.001	0.967
Б140	5802	8	0.614	0.236	0.149	0.000	0.001	0.001	0.613	0.463
ЮЛС	5802	8	0.929	0.019	0.052	0.000	0.000	0.001	0.928	0.293
ЮЛС	5801	8	0.796	0.162	0.040	0.001	0.000	0.017	0.780	0.337
ЮЛС	5803	8	0.824	0.176	0.000	0.000	0.000	0.000	0.824	0.186
Б140	5804	8	0.000	0.055	0.945	0.000	0.000	0.000	0.000	0.991
Б140	5803	8	0.456	0.419	0.126	0.000	0.000	0.008	0.448	0.519
ЮЛС	5804	8	0.000	0.176	0.824	0.000	0.000	0.000	0.000	0.977
ЮЛС	5806	8	0.009	0.271	0.720	0.000	0.000	0.002	0.007	0.921
ЮЛС	5805	8	0.001	0.091	0.908	0.000	0.000	0.000	0.001	0.995
Б140	5806	8	0.001	0.203	0.796	0.000	0.000	0.000	0.001	0.969
Б140	5805	8	0.464	0.290	0.245	0.001	0.000	0.000	0.464	0.516
Б140	5807	8	0.004	0.124	0.870	0.000	0.001	0.000	0.004	0.973
ЮЛС	5807	8	0.316	0.329	0.354	0.000	0.001	0.000	0.316	0.621
Б140	5808	8	0.853	0.124	0.023	0.000	0.000	0.000	0.853	0.270
ЮЛС	5808	8	0.002	0.072	0.926	0.000	0.000	0.000	0.002	0.990
Б140	5809	8	0.880	0.120	0.000	0.000	0.000	0.000	0.880	0.162
ЮЛС	5809	8	0.709	0.225	0.066	0.000	0.000	0.000	0.709	0.364
Б140	5810	8	0.000	0.080	0.920	0.000	0.000	0.000	0.000	0.980
ЮЛС	5810	8	0.000	0.080	0.920	0.000	0.000	0.000	0.000	0.968
ЮЛС	5811	8	0.003	0.078	0.919	0.000	0.000	0.001	0.002	0.958
Б140	5811	8	0.000	0.065	0.935	0.000	0.000	0.000	0.000	0.984
Б140	5812	8	0.000	0.100	0.900	0.000	0.000	0.000	0.000	0.978
ЮЛС	5812	8	0.000	0.074	0.926	0.000	0.000	0.000	0.000	0.989
